"Key","en","fr","es","zh","hi","ar","pt","ru","ja","de","ko","tr","it","vi","pl","nl","th","cs","bn","id","ur","te","mr","ta","gu","uk","fil","ms","ro","hu","el","sv","da","no","fi","he","fa","ml"
"N/A","English","French","Spanish","Chinese (Simplified)","Hindi","Arabic","Portuguese","Russian","Japanese","German","Korean","Turkish","Italian","Vietnamese","Polish","Dutch","Thai","Czech","Bengali","Indonesian","Urdu","Telugu","Marathi","Tamil","Gujarati","Ukrainian","Filipino (Tagalog)","Malay","Romanian","Hungarian","Greek","Swedish","Danish","Norwegian","Finnish","Hebrew","Persian (Farsi)","Malayalam"
"default-wallet-name","Bank","Banque","Banco","银行","किनारा","بنك","Banco","Банк","銀行","Bank","은행","Banka","Banca","Ngân hàng","Bank","Bank","ธนาคาร","banka","ব্যাংক","Bank","بینک","బ్యాంక్","बँक","வங்கி","બેંક","Банкнота","bangko","Bank","bancă","Bank","Τράπεζα","Bank","Bank","Bank","Pankki","בַּנק","بانک","ബാങ്ക്"
"default-budget-name","Budget","Budget","Presupuesto","预算","बजट","ميزانية","Orçamento","Бюджет","バジェット","Budget","예산","Bütçe","Budget","Ngân sách","Budżet","Begroting","งบประมาณ","Rozpočet","বাজেট","Anggaran","بجٹ","బడ్జెట్","अर्थसंकल्प","பட்ஜெட்","અંદાજપત્ર","Бюджет","Badyet","Belanjawan","Buget","Költségvetés","Προϋπολογισμός","Budget","Budget","Budsjett","Budjetti","תַקצִיב","بودجه","വരവ്ചെലവ് മതിപ്പ്"
"current-budget-period","Current Period","Période actuelle","Período actual","现时阶段","वर्तमान अवधि","الفترة الحالية","Período atual","Текущий период","当期","Derzeitige Periode","현재 기간","Mevcut dönem","Periodo attuale","Giai đoạn hiện tại","Obecny okres","Huidige periode","งวดปัจจุบัน","Současné období","বর্তমান সময়ের","Periode saat ini","موجودہ دور","ప్రస్తుత కాలం","चालू कालावधी","நடப்பு காலம்","વર્તમાન સમયગાળો","Поточний період","Kasalukuyang Panahon","Tempoh semasa","Perioada curenta","Jelenlegi időszak","Τωρινή περίοδος","Nuvarande period","Nuværende periode","Nåværende periode","Nykyinen jakso","התקופה הנוכחית","دوره جاری","നിലവിലെ കാലയളവ്"
"budget-history","Budget History","Historique du budget","Historia presupuestaria","预算历史","बजट इतिहास","تاريخ الميزانية","História do Orçamento","Бюджетная история","予算履歴","Budgetgeschichte","예산 기록","Bütçe geçmişi","Storico del budget","Lịch sử ngân sách","Historia budżetu","Budgetgeschiedenis","ประวัติงบประมาณ","Historie rozpočtu","বাজেটের ইতিহাস","Sejarah Anggaran","بجٹ کی تاریخ","బడ్జెట్ చరిత్ర","बजेट इतिहास","பட்ஜெட் வரலாறு","બજેટ ઇતિહાસ","Історія бюджету","Kasaysayan ng Budget","Sejarah Belanjawan","Istoric bugetar","Költségvetési előzmények","Ιστορικό του προϋπολογισμού","Budgethistorik","Budgethistorie","Budsjetthistorie","Budjettihistoria","היסטוריה של תקציב","تاریخچه بودجه","ബജറ്റ് ചരിത്രം"
"home","Home","Maison","Hogar","家","घर","بيت","Lar","Дом","家","Heim","집","Ev","Home","Trang chủ","Dom","Thuis","บ้าน","Domov","বাড়ি","Rumah","گھر","హోమ్","मुख्यपृष्ठ","வீடு","ઘર","Домашній","Home","Rumah","Acasă","itthon","Σπίτι","Hem","Hjem","Hjem","Koti","בית","خانه","വീട്"
"transactions","Transactions","Transactions","Actas","交易","लेनदेन","المعاملات","Transações","Транзакции","トランザクション","Transaktionen","업무","İşlemler","Transazioni","Giao dịch","Transakcje","Transacties","การทำธุรกรรม","Transakce","লেনদেন","Transaksi","لین دین","లావాదేవీలు","व्यवहार","பரிவர்த்தனைகள்","વ્યવહાર","Транзакції","Mga Transaksyon","Urus niaga","Tranzacții","Tranzakciók","Συναλλαγές","Transaktioner","Transaktioner","Transaksjoner","Tapahtumat","עסקאות","معاملات","ഇടപാടുകൾ"
"budgets","Budgets","Budget","Presupuesto","预算","बजट","الميزانيات","Orçamentos","Бюджетный","予算","Budgets","예산","Bütçeler","Budget","Ngân sách","Budżety","Budgetten","งบประมาณ","Rozpočty","বাজেট","Anggaran","بجٹ","బడ్జెట్లు","अर्थसंकल्प","பட்ஜெட்டுகள்","અંદાજપત્ર","Бюджети","Mga Budget","Belanjawan","Bugete","Költségvetés","Προϋπολογισμός","Budgetar","Budgetter","Budsjetter","Budjetti","תקציבים","بودجه","ബജറ്റുകൾ"
"more-actions","More Actions","Plus d'actions","Mas acciones","更多操作","अधिक कार्रवाई","المزيد من الإجراءات","Mais ações","Больше действий","より多くのアクション","Mehr Aktionen","더 많은 행동","Daha fazla hareket","Altre funzioni","Nhiêu hanh động hơn","Więcej akcji","Meer acties","การดำเนินการมากขึ้น","Více akcí","আরও কাজ","Lebih banyak tindakan","مزید اقدامات","మరిన్ని చర్యలు","अधिक क्रिया","மேலும் செயல்கள்","વધુ ક્રિયાઓ","Більше дій","Marami pang mga aksyon","Lebih aksi","Mai multe actiuni","Több akció","Περισσότερες δράσεις","Fler åtgärder","Flere handlinger","Flere handlinger","Lisää toimintaa","יותר פעולות","اقدامات بیشتر","കൂടുതൽ പ്രവർത്തനങ്ങൾ"
"subscriptions","Subscriptions","Abonnements","Suscripciones","订阅","सदस्यता","الاشتراكات","Assinaturas","Подписки","サブスクリプション","Abonnements","구독","Abonelik","Abbonamenti","Đăng ký","Subskrypcje","Abonnementen","การสมัครรับข้อมูล","Předplatné","সাবস্ক্রিপশন","Langganan","سبسکرپشنز","చందాలు","सदस्यता","சந்தாக்கள்","લવાજવો","Підписки","Mga subscription","Langganan","Abonamente","Előfizetések","Συνδρομές","Prenumerationer","Abonnementer","Abonnement","Tilaukset","מנויים","اشتراک","സബ്സ്ക്രിപ്ഷനുകൾ"
"notifications","Notifications","Notifications","Notificaciones","通知","अधिसूचना","إشعارات","Notificações","Уведомления","通知","Benachrichtigungen","알림","Bildirimler","Notifiche","Thông báo","Powiadomienia","Meldingen","การแจ้งเตือน","Oznámení","বিজ্ঞপ্তি","Pemberitahuan","اطلاعات","నోటిఫికేషన్‌లు","अधिसूचना","அறிவிப்புகள்","સૂચના","Сповіщення","Mga abiso","Pemberitahuan","Notificări","Értesítések","Ειδοποιήσεις","Meddelanden","Underretninger","Varsler","Ilmoitukset","התראות","اطلاعیه","അറിയിപ്പുകൾ"
